trade_date,open,high,low,close,vol,turnover_rate,volume_ratio,pe,pb,ps,total_mv,dv_ratio,trade_date,adj_factor,open_hfq,open_qfq,close_hfq,close_qfq,high_hfq,high_qfq,low_hfq,low_qfq,pre_close_hfq,pre_close_qfq,macd_dif,macd_dea,macd,kdj_k,kdj_d,kdj_j,rsi_6,rsi_12,rsi_24,boll_upper,boll_mid,boll_lower,cci
2018-01-02,11.16,11.47,11.16,11.41,319609.7,0.2778,1.77,11.0676,1.1111,0.2462,15494256.8515,1.4023,20180102,1.168,13.03488,9.54936,13.32688,9.76328,13.39696,9.81462,13.03488,9.54936,13.01152,9.53225,-0.137,-0.128,-0.019,30.213,20.663,49.313,57.977,46.407,43.966,10.297,9.848,9.399,-9.369
2018-01-03,11.43,11.54,11.38,11.45,294213.72,0.2558,1.4,11.1064,1.115,0.2471,15548575.0175,1.3974,20180103,1.168,13.35024,9.7804,13.3736,9.79751,13.47872,9.87452,13.29184,9.73761,13.32688,9.76328,-0.12,-0.126,0.013,46.332,29.219,80.558,61.243,48.574,45.009,10.23,9.824,9.418,64.524
2018-01-04,11.47,11.5,11.42,11.46,179081.77,0.1557,0.76,11.1161,1.116,0.2473,15562154.559,1.3962,20180104,1.168,13.39696,9.81462,13.38528,9.80607,13.432,9.84029,13.33856,9.77184,13.3736,9.79751,-0.104,-0.122,0.035,57.872,38.77,96.076,62.126,49.135,45.275,10.177,9.806,9.434,77.069
2018-01-05,11.46,11.68,11.44,11.63,372369.31,0.3237,1.62,11.281,1.1325,0.251,15793006.7645,1.3758,20180105,1.168,13.38528,9.80607,13.58384,9.95153,13.64224,9.99432,13.36192,9.78895,13.38528,9.80607,-0.079,-0.113,0.068,68.939,48.826,109.163,74.143,57.692,49.595,10.133,9.795,9.456,143.522
2018-01-08,11.63,11.67,11.55,11.62,261807.3,0.2276,0.99,11.2713,1.1316,0.2507,15779427.223,1.3769,20180108,1.168,13.58384,9.95153,13.57216,9.94297,13.63056,9.98576,13.4904,9.88308,13.58384,9.95153,-0.06,-0.102,0.086,75.721,57.791,111.581,72.519,57.076,49.356,10.092,9.785,9.477,138.714
2018-01-09,11.61,11.63,11.51,11.55,240239.49,0.2088,0.84,11.2034,1.1247,0.2492,15684370.4325,1.3853,20180109,1.168,13.56048,9.93442,13.4904,9.88308,13.58384,9.95153,13.44368,9.84885,13.57216,9.94297,-0.048,-0.092,0.087,76.076,63.886,100.455,61.248,52.772,47.676,10.04,9.772,9.504,97.162
2018-01-10,11.59,11.69,11.53,11.56,346809.02,0.3015,1.29,11.2131,1.1257,0.2494,15697949.974,1.3841,20180110,1.168,13.53712,9.9173,13.50208,9.89163,13.65392,10.00287,13.46704,9.86596,13.4904,9.88308,-0.038,-0.081,0.086,76.448,68.074,93.198,62.254,53.32,47.94,10.034,9.77,9.506,100.528
2018-01-11,11.55,11.65,11.54,11.57,210578.52,0.1831,0.75,11.2228,1.1267,0.2497,15711529.5155,1.3829,20180111,1.168,13.4904,9.88308,13.51376,9.90019,13.6072,9.96864,13.47872,9.87452,13.50208,9.89163,-0.029,-0.071,0.083,77.281,71.143,89.558,63.394,53.904,48.213,10.025,9.768,9.51,82.515
2018-01-12,11.54,11.62,11.43,11.45,181810.73,0.1581,0.63,11.1064,1.115,0.2471,15548575.0175,1.3974,20180112,1.168,13.47872,9.87452,13.3736,9.79751,13.57216,9.94297,13.35024,9.7804,13.51376,9.90019,-0.03,-0.062,0.065,69.76,70.682,67.916,44.18,46.317,45.245,10.018,9.764,9.51,38.264
2018-01-15,11.48,11.51,11.22,11.25,322474.14,0.2803,1.3,10.9124,1.0955,0.2428,15276984.1875,1.4222,20180115,1.168,13.40864,9.82318,13.14,9.62637,13.44368,9.84885,13.10496,9.6007,13.3736,9.79751,-0.044,-0.059,0.03,48.634,63.333,19.237,27.507,36.88,40.87,10.013,9.754,9.495,-41.976
