trade_date,open,high,low,close,vol,turnover_rate,volume_ratio,pe,pb,ps,total_mv,dv_ratio,trade_date,adj_factor,open_hfq,open_qfq,close_hfq,close_qfq,high_hfq,high_qfq,low_hfq,low_qfq,pre_close_hfq,pre_close_qfq,macd_dif,macd_dea,macd,kdj_k,kdj_d,kdj_j,rsi_6,rsi_12,rsi_24,boll_upper,boll_mid,boll_lower,cci
2018-01-02,6.16,6.47,6.16,6.37,3675652.92,0.3847,3.43,16.6155,1.0764,0.3994,77122360.5445,4.2386,20180102,2.662,16.39792,3.96276,16.95694,4.09786,17.22314,4.16219,16.39792,3.96276,16.31806,3.94347,0.026,0.004,0.043,77.813,69.747,93.943,85.446,75.161,65.266,4.02,3.894,3.767,230.323
2018-01-03,6.36,6.52,6.34,6.47,2431524.88,0.2545,1.5,16.8763,1.0933,0.4057,78333072.641,4.1731,20180103,2.662,16.93032,4.09143,17.22314,4.16219,17.35624,4.19435,16.87708,4.07856,16.95694,4.09786,0.042,0.012,0.061,82.384,73.959,99.232,88.62,78.775,68.226,4.076,3.905,3.733,209.39
2018-01-04,6.56,7.08,6.56,6.9,5100948.22,0.5338,2.64,17.9979,1.1659,0.4326,83539134.6557,3.913,20180104,2.662,17.46272,4.22009,18.3678,4.43881,18.84696,4.55461,17.46272,4.22009,17.22314,4.16219,0.077,0.025,0.104,82.946,76.955,94.928,94.646,87.385,77.016,4.22,3.931,3.641,266.692
2018-01-05,6.9,7.18,6.85,7.06,4266394.01,0.4465,1.61,18.4153,1.193,0.4427,85476274.0101,3.8244,20180105,2.662,18.3678,4.43881,18.79372,4.54174,19.11316,4.61894,18.2347,4.40665,18.3678,4.43881,0.111,0.042,0.138,85.269,79.726,96.355,95.67,89.169,79.246,4.355,3.962,3.57,211.278
2018-01-08,7.02,7.14,6.98,7.05,3349207.15,0.3505,1.04,18.3892,1.1913,0.442,85355202.8004,3.8298,20180108,2.662,18.68724,4.51601,18.7671,4.53531,19.00668,4.5932,18.58076,4.49028,18.79372,4.54174,0.136,0.061,0.151,86.476,81.976,95.475,94.317,88.318,78.747,4.458,3.995,3.532,158.515
2018-01-09,7.07,7.11,6.93,7.0,2713787.19,0.284,0.72,18.2588,1.1828,0.4389,84749846.7522,3.8571,20180109,2.662,18.82034,4.54817,18.634,4.50314,18.92682,4.57391,18.44766,4.45811,18.7671,4.53531,0.152,0.079,0.146,85.627,83.193,90.494,86.942,83.946,76.247,4.536,4.026,3.517,118.082
2018-01-10,7.17,7.35,7.1,7.15,4694376.27,0.4913,1.31,18.65,1.2082,0.4483,86565914.8969,3.7762,20180110,2.662,19.08654,4.6125,19.0333,4.59964,19.5657,4.7283,18.9002,4.56747,18.634,4.50314,0.17,0.097,0.146,85.25,83.879,87.992,89.81,86.184,78.395,4.624,4.062,3.5,121.16
2018-01-11,7.15,7.18,7.01,7.08,1635527.16,0.1712,0.41,18.4674,1.1963,0.4439,85718416.4294,3.8136,20180111,2.662,19.0333,4.59964,18.84696,4.55461,19.11316,4.61894,18.66062,4.50957,19.0333,4.59964,0.179,0.114,0.131,82.967,83.575,81.75,79.972,80.472,75.088,4.69,4.096,3.502,85.61
2018-01-12,7.1,7.23,6.99,7.15,1937617.82,0.2028,0.58,18.65,1.2082,0.4483,86565914.8969,3.7762,20180112,2.662,18.9002,4.56747,19.0333,4.59964,19.24626,4.6511,18.60738,4.49671,18.84696,4.55461,0.187,0.128,0.118,83.042,83.397,82.332,82.299,81.789,76.138,4.754,4.134,3.514,77.681
2018-01-15,7.2,7.44,7.1,7.29,3319511.8,0.3474,1.16,19.0152,1.2318,0.4571,88260911.8319,3.7037,20180115,2.662,19.1664,4.6318,19.40598,4.6897,19.80528,4.7862,18.9002,4.56747,19.0333,4.59964,0.199,0.143,0.113,84.149,83.648,85.152,86.158,84.124,78.068,4.824,4.178,3.531,89.083
2018-01-16,7.28,7.38,7.09,7.11,4444591.99,0.4651,1.55,18.5457,1.2014,0.4458,86081630.0583,3.7975,20180116,2.662,19.37936,4.68327,18.92682,4.57391,19.64556,4.7476,18.87358,4.56104,19.40598,4.6897,0.197,0.153,0.087,76.933,81.41,67.98,64.471,71.3,70.428,4.862,4.216,3.569,69.023
2018-01-17,7.05,7.25,6.96,7.03,4256323.23,0.4454,1.33,18.337,1.1879,0.4408,85113060.3811,3.8407,20180117,2.662,18.7671,4.53531,18.71386,4.52244,19.2995,4.66397,18.52752,4.47741,18.92682,4.57391,0.188,0.16,0.056,61.458,74.759,34.856,56.84,66.392,67.37,4.885,4.25,3.615,44.321
2018-01-18,7.05,7.05,6.89,7.0,4055839.81,0.4244,1.3,18.2588,1.1828,0.4389,84749846.7522,3.8571,20180118,2.662,18.7671,4.53531,18.634,4.50314,18.7671,4.53531,18.34118,4.43238,18.71386,4.52244,0.178,0.164,0.029,47.639,65.719,11.478,53.965,64.574,66.245,4.898,4.283,3.668,16.021
2018-01-19,6.99,7.11,6.94,7.04,4157306.56,0.4351,1.15,18.3631,1.1896,0.4414,85234131.5908,3.8352,20180119,2.662,18.60738,4.49671,18.74048,4.52887,18.92682,4.57391,18.47428,4.46454,18.634,4.50314,0.17,0.165,0.01,40.85,57.429,7.692,57.411,65.931,67.012,4.906,4.318,3.729,18.382
2018-01-22,7.06,7.12,6.87,6.91,3960918.08,0.4145,0.98,18.024,1.1676,0.4333,83660205.8654,3.9074,20180122,2.662,18.79372,4.54174,18.39442,4.44524,18.95344,4.58034,18.28794,4.41951,18.74048,4.52887,0.156,0.163,-0.016,29.573,48.144,-7.57,44.438,58.047,62.219,4.901,4.346,3.791,-30.599
2018-01-23,6.98,7.05,6.88,7.04,6139969.41,0.6425,1.47,18.3631,1.1896,0.4414,85234131.5908,3.8352,20180123,2.662,18.58076,4.49028,18.74048,4.52887,18.7671,4.53531,18.31456,4.42594,18.39442,4.44524,0.149,0.16,-0.023,29.657,41.981,5.007,56.291,62.888,64.843,4.895,4.378,3.862,-57.672
2018-01-24,7.12,7.33,7.02,7.32,6939308.68,0.7262,1.54,19.0934,1.2369,0.459,88624125.4609,3.6885,20180124,2.662,18.95344,4.58034,19.48584,4.709,19.51246,4.71543,18.68724,4.51601,18.74048,4.52887,0.156,0.16,-0.007,46.087,43.35,51.561,71.825,70.804,69.589,4.905,4.419,3.933,109.643
2018-01-25,7.42,7.51,7.22,7.25,4916205.24,0.5145,0.97,18.9109,1.2251,0.4546,87776626.9934,3.7241,20180125,2.662,19.75204,4.77333,19.2995,4.66397,19.99162,4.83123,19.21964,4.64467,19.48584,4.709,0.157,0.159,-0.005,50.516,45.739,60.071,64.905,66.912,67.222,4.896,4.456,4.016,148.41
2018-01-26,7.18,7.39,7.14,7.38,3185790.74,0.3334,0.61,19.2499,1.247,0.4627,89350552.7187,3.6585,20180126,2.662,19.11316,4.61894,19.64556,4.7476,19.67218,4.75403,19.00668,4.5932,19.2995,4.66397,0.162,0.16,0.005,60.24,50.572,79.575,71.108,70.228,69.249,4.893,4.494,4.096,108.407
2018-01-29,7.39,7.62,7.36,7.44,4491857.54,0.4701,0.89,19.4065,1.2572,0.4665,90076979.9766,3.629,20180129,2.662,19.67218,4.75403,19.80528,4.7862,20.28444,4.90199,19.59232,4.73473,19.64556,4.7476,0.167,0.161,0.012,65.493,55.546,85.388,73.684,71.658,70.139,4.865,4.537,4.208,167.754
2018-01-30,7.33,7.42,7.18,7.21,2423818.55,0.2536,0.47,18.8065,1.2183,0.4521,87292342.1548,3.7448,20180130,2.662,19.51246,4.71543,19.19302,4.63824,19.75204,4.77333,19.11316,4.61894,19.80528,4.7862,0.158,0.16,-0.005,58.773,56.622,63.076,52.252,59.672,62.865,4.825,4.564,4.302,53.629
2018-01-31,7.13,7.15,7.02,7.08,2591236.52,0.2712,0.59,18.4674,1.1963,0.4439,85718416.4294,3.8136,20180131,2.662,18.98006,4.58677,18.84696,4.55461,19.0333,4.59964,18.68724,4.51601,19.19302,4.63824,0.142,0.157,-0.03,48.516,53.92,37.707,43.642,54.092,59.241,4.77,4.583,4.397,-42.402
