trade_date,open,high,low,close,vol,turnover_rate,volume_ratio,pe,pb,ps,total_mv,dv_ratio,trade_date,adj_factor,open_hfq,open_qfq,close_hfq,close_qfq,high_hfq,high_qfq,low_hfq,low_qfq,pre_close_hfq,pre_close_qfq,macd_dif,macd_dea,macd,kdj_k,kdj_d,kdj_j,rsi_6,rsi_12,rsi_24,boll_upper,boll_mid,boll_lower,cci
2016-01-04,28.29,28.29,26.22,26.27,145799.15,0.07,0.89,23.0516,2.4851,1.6657,74251380.035,1.5226,20160104,1.143,32.33547,24.89259,30.02661,23.11517,32.33547,24.89259,29.96946,23.07118,32.35833,24.91018,0.007,0.252,-0.49,13.877,30.127,-18.623,17.236,32.367,41.927,26.949,25.275,23.601,-235.04
2016-01-05,25.6,27.04,25.56,26.85,204440.44,0.0982,1.28,23.5605,2.5399,1.7025,75890732.925,1.4898,20160105,1.143,29.2608,22.52564,30.68955,23.62552,30.90672,23.7927,29.21508,22.49044,30.02661,23.11517,-0.115,0.178,-0.586,16.876,25.71,-0.793,29.095,37.835,44.446,27.03,25.223,23.416,-209.647
2016-01-06,26.5,26.95,26.31,26.92,152007.17,0.073,0.95,23.6219,2.5466,1.7069,76088585.86,1.4859,20160106,1.143,30.2895,23.31755,30.76956,23.68711,30.80385,23.71351,30.07233,23.15037,30.68955,23.62552,-0.203,0.102,-0.611,19.288,23.569,10.726,30.537,38.49,44.748,27.086,25.182,23.277,-143.859
2016-01-07,26.6,26.6,24.88,25.03,32768.65,0.0157,0.2,21.9635,2.3678,1.5871,70746556.615,1.5981,20160107,1.143,30.4038,23.40554,28.60929,22.02409,30.4038,23.40554,28.43784,21.8921,30.76956,23.68711,-0.403,0.001,-0.809,13.781,20.307,0.731,18.41,29.376,38.808,27.392,25.045,22.697,-165.066
2016-01-08,25.81,26.3,24.63,25.44,209954.05,0.1008,1.6,22.3232,2.4066,1.613,71905409.52,1.5723,20160108,1.143,29.50083,22.71042,29.07792,22.38485,30.0609,23.14157,28.15209,21.67212,28.60929,22.02409,-0.527,-0.105,-0.844,13.992,18.202,5.572,26.054,33.124,40.593,27.549,24.934,22.319,-127.777
2016-01-11,24.73,25.25,23.37,23.64,210579.98,0.1011,1.41,20.7438,2.2363,1.4989,66817762.62,1.692,20160111,1.143,28.26639,21.76012,27.02052,20.80102,28.86075,22.21767,26.71191,20.56344,29.07792,22.38485,-0.744,-0.232,-1.023,10.872,15.758,1.098,17.444,26.412,35.808,27.931,24.762,21.594,-145.508
2016-01-12,23.99,24.45,23.57,23.83,124307.53,0.0597,0.77,20.9105,2.2543,1.511,67354792.015,1.6786,20160112,1.143,27.42057,21.10898,27.23769,20.9682,27.94635,21.51374,26.94051,20.73942,27.02052,20.80102,-0.892,-0.364,-1.055,9.928,13.815,2.155,20.761,28.09,36.631,28.036,24.515,20.993,-123.897
2016-01-13,24.29,24.29,23.3,23.33,108667.22,0.0522,0.74,20.4718,2.207,1.4793,65941556.765,1.7145,20160113,1.143,27.76347,21.37296,26.66619,20.52824,27.76347,21.37296,26.6319,20.50185,27.23769,20.9682,-1.033,-0.498,-1.07,6.8,11.477,-2.552,18.423,26.364,35.386,28.184,24.279,20.374,-116.936
2016-01-14,22.9,23.81,22.53,23.7,112138.35,0.0539,0.82,20.7964,2.242,1.5027,66987350.85,1.6878,20160114,1.143,26.1747,20.14988,27.0891,20.85381,27.21483,20.9506,25.75179,19.82432,26.66619,20.52824,-1.106,-0.62,-0.972,11.304,11.419,11.075,25.838,29.843,37.039,28.225,24.067,19.909,-112.02
2016-01-15,23.58,23.63,22.6,23.25,121985.78,0.0586,0.8,20.4016,2.1994,1.4742,65715439.125,1.7204,20160115,1.143,26.95194,20.74822,26.57475,20.45785,27.00909,20.79222,25.8318,19.88591,27.0891,20.85381,-1.182,-0.732,-0.899,12.858,11.899,14.776,22.812,28.083,35.874,28.214,23.821,19.427,-102.116
